"2022","city","country","latitude","longitude"
23341,"Avellaneda","Argentina",-29.1176,-59.6583
23257,"Villa Gesell","Argentina",-37.2639,-56.973
22634,"Santo Tome","Argentina",-28.5494,-56.0408
22500,"Villa Ortuzar","Argentina",-34.5797,-58.4683
22229,"Montecarlo","Argentina",-26.5662,-54.757
21809,"San Justo","Argentina",-30.7891,-60.5919
21683,"Villa Allende","Argentina",-31.2946,-64.2954
21018,"San Jose de Jachal","Argentina",-30.2406,-68.7469
20683,"Aristobulo del Valle","Argentina",-27.0963,-54.8963
20620,"Arroyo Seco","Argentina",-33.1549,-60.5086
20413,"Albardon","Argentina",-31.4372,-68.5256
20261,"Anatuya","Argentina",-28.4606,-62.8347
20164,"Dean Funes","Argentina",-30.4204,-64.3498
19908,"Laboulaye","Argentina",-34.1266,-63.3912
19819,"Cinco Saltos","Argentina",-38.8223,-68.0629
19811,"General Mosconi","Argentina",-22.5959,-63.8125
19797,"Vera","Argentina",-29.4593,-60.2126
19577,"Arroyito","Argentina",-31.4202,-63.05
19571,"El Soberbio","Argentina",-27.2985,-54.1988
19545,"Diamante","Argentina",-32.0664,-60.6384
19185,"Joaquin V. Gonzalez","Argentina",-25.1136,-64.1263
19124,"Pirane","Argentina",-25.7324,-59.1088
19101,"Villa Ocampo","Argentina",-28.4875,-59.3551
19092,"Villa Paula de Sarmiento","Argentina",-31.4933,-68.5384
19070,"Cosquin","Argentina",-31.2451,-64.4656
18757,"Sunchales","Argentina",-30.944,-61.5615
18410,"Santa Elena","Argentina",-30.9443,-59.7883
18374,"Galvez","Argentina",-32.0293,-61.221
18361,"Rufino","Argentina",-34.2683,-62.7126
18349,"Saladas","Argentina",-28.2538,-58.6259
18296,"Crespo","Argentina",-32.0287,-60.3066
18294,"Firmat","Argentina",-33.4594,-61.4832
18155,"Rio Segundo","Argentina",-31.6526,-63.9099
17491,"Puerto Rico","Argentina",-26.796,-55.024
16975,"Coronda","Argentina",-31.9726,-60.9198
16966,"San Antonio Oeste","Argentina",-40.7319,-64.9477
16873,"San Jorge","Argentina",-31.8962,-61.8598
16841,"Villa Nueva","Argentina",-32.4329,-63.2476
16632,"Rio Ceballos","Argentina",-31.1649,-64.3224
16333,"Federal","Argentina",-30.9547,-58.7833
16270,"General Villegas","Argentina",-35.0328,-63.0125
15900,"Embalse","Argentina",-32.18,-64.4181
15741,"General Pinedo","Argentina",-27.3167,-61.2833
15619,"Carcarana","Argentina",-32.8568,-61.1533
15606,"San Javier","Argentina",-30.5778,-59.9317
15579,"Puerto Esperanza","Argentina",-26.0227,-54.6136
15537,"El Bolson","Argentina",-41.9605,-71.5334
15529,"Wanda","Argentina",-25.9688,-54.5629
15369,"Unquillo","Argentina",-31.2307,-64.3161
15347,"San Luis del Palmar","Argentina",-27.5079,-58.5545
15169,"Catriel","Argentina",-37.8791,-67.7956
15129,"Morteros","Argentina",-30.7116,-61.9986
15126,"Bella Vista","Argentina",-27.0342,-65.302
15112,"La Falda","Argentina",-31.0884,-64.4899
15000,"Clorinda","Argentina",-25.2848,-57.7185
15000,"La Punta","Argentina",-33.1837,-66.3127
14985,"Pico Truncado","Argentina",-46.7949,-67.9573
14751,"La Quiaca","Argentina",-22.1024,-65.593
14750,"Funes","Argentina",-32.9157,-60.81
14649,"Las Varillas","Argentina",-31.8721,-62.7195
14544,"Dos de Mayo","Argentina",-27.0228,-54.6867
14509,"Tinogasta","Argentina",-28.0632,-67.5649
14390,"Fray Luis A. Beltran","Argentina",-32.7912,-60.7282
14286,"San Cristobal","Argentina",-30.3105,-61.2372
14204,"Recreo","Argentina",-29.2818,-65.061
14068,"Andalgala","Argentina",-27.5819,-66.3163
14056,"Santa Lucia","Argentina",-28.9875,-59.1029
14000,"Tostado","Argentina",-29.232,-61.7692
13807,"Rosario del Tala","Argentina",-32.3029,-59.1455
13789,"Federacion","Argentina",-31.0062,-57.8996
13720,"Arauco","Argentina",-28.5807,-66.7925
13682,"Fraile Pintado","Argentina",-23.9408,-64.7994
13383,"Chamical","Argentina",-30.36,-66.314
13063,"Ceres","Argentina",-29.881,-61.945
12798,"Recreo","Argentina",-31.4908,-60.733
12793,"Las Rosas","Argentina",-32.4766,-61.5804
12780,"El Colorado","Argentina",-26.3081,-59.3729
12660,"Oncativo","Argentina",-31.9135,-63.682
12536,"General Acha","Argentina",-37.377,-64.6043
12488,"Pilar","Argentina",-31.6789,-63.8796
12468,"Roldan","Argentina",-32.8985,-60.9068
12273,"Plaza Huincul","Argentina",-38.926,-69.2086
12250,"Laguna Paiva","Argentina",-31.3039,-60.6589
12231,"Presidencia de la Plaza","Argentina",-27.0015,-59.8424
12040,"Campo Grande","Argentina",-27.2077,-54.9798
12029,"Villa Berthet","Argentina",-27.2917,-60.4126
11928,"Veinticinco de Mayo","Argentina",-27.3768,-54.7431
11811,"Las Toscas","Argentina",-28.3529,-59.2579
11785,"Cafayate","Argentina",-26.0729,-65.9777
11721,"Chos Malal","Argentina",-37.3781,-70.2709
11644,"Coronel Dorrego","Argentina",-38.7187,-61.2873
11629,"Oliva","Argentina",-32.0416,-63.5698
11626,"San Salvador","Argentina",-31.6249,-58.5052
11588,"Pampa del Indio","Argentina",-26.0498,-59.9373
